Name,Path
Canon Generic Plus PCL6,Canon\C5840i\GPlus_PCL6_Driver_V240_32_64_00\x64\Driver\cnp60ma64.inf
Canon Generic Plus PS3,Canon\C165\GPlus_PS3_Driver_V240_32_64_00\x64\Driver\cns30ma64.inf
HP ColorLaserJet MFP M278-M281 PCL-6 (V4),HP\HP ColorLaserJet MFP M278-M281 PCL-6 (V4)\hpzead2a4_x64.inf
HP DesignJet Universal Print Driver HPGL2(v5.9.0),HP\HP Designjet Universal\win-x64-hpgl2-drv\hpi91edx.inf
HP LaserJet M507 PCL-6 (V4),HP\M507\HP_LJM507\HP_LJM507_V4\hpkoca2a4_x64.inf
